"","rgdpo","pop","emp","csh_g","hc","year.x","scode","country","polity2","log_rgdp","rgdppc","log_rgdppc","log_pop"
"1",35363.46875,2.88274,1.07106351852417,0.203791037201881,2.95806837081909,2018,"ALB","Albania",9,10.4734346100738,12267.3112212687,9.41469337932058,1.05874123075318
"2",497182.15625,42.228408,11.0936212539673,0.276212304830551,2.34303092956543,2018,"ALG","Algeria",2,13.1167117494992,11773.6419580392,9.3736185795827,3.74309316991652
"3",233805.0625,30.809787,16.0783309936523,0.193738281726837,1.4746345281601,2018,"ANG","Angola",-2,12.362242980908,7588.66208649868,8.93441058166315,3.42783239924485
"4",1021129.3125,44.36115,20.1350708007812,0.216998472809792,3.06596803665161,2018,"ARG","Argentina",9,13.8364197419184,23018.5491697127,10.0440556555162,3.79236408640222
"5",40110.83984375,2.951745,0.926079332828522,0.212515234947205,3.13321995735168,2018,"ARM","Armenia",7,10.5994018970577,13588.8567080659,9.51700537616447,1.08239652089326
"6",1350395.25,24.898152,12.6194372177124,0.165548667311668,3.53604745864868,2018,"AUL","Australia",10,14.1159078853413,54236.766246748,10.9011143014924,3.21479358384898
"7",470960.75,8.891388,4.4884819984436,0.17765574157238,3.36999678611755,2018,"AUS","Austria",10,13.0625300361928,52968.1923677158,10.8774468683704,2.18508316782241
"8",77336.96875,1.569446,0.755233645439148,0.169219493865967,2.23335027694702,2018,"BAH","Bahrain",-10,11.2559273705737,49276.6038143396,10.8052046797275,0.450722690846237
"9",507573.0625,11.482178,4.83939981460571,0.201675459742546,3.14273524284363,2018,"BEL","Belgium",8,13.1373959450533,44205.2947184759,10.6965998509023,2.44079609415097
"10",35813.25390625,11.485044,4.15568017959595,0.130638375878334,1.87931907176971,2018,"BEN","Benin",7,10.4860733247189,3118.25134551074,8.04502765750119,2.44104566721775
"11",40581.484375,19.751466,6.75672006607056,0.162991121411324,1.27230703830719,2018,"BFO","Burkina Faso",6,10.6110671916906,2054.6061935352,7.62783947525012,2.98322771644048
"12",714599.5625,161.376708,64.3414001464844,0.0632781237363815,2.07510161399841,2018,"BNG","Bangladesh",-6,13.4794776123406,4428.14561875931,8.39573617918647,5.08374143315417
"13",96384.859375,11.353142,5.40282011032104,0.129628777503967,2.93748831748962,2018,"BOL","Bolivia (Plurinational State of)",7,11.476104407838,8489.70790420837,9.04660987402666,2.42949453381139
"14",36344.578125,2.254068,0.913966119289398,0.243556648492813,2.91175222396851,2018,"BOT","Botswana",8,10.50080031434,16123.9936528091,9.68806373058832,0.812736583751697
"15",3042121.5,209.469323,92.0909423828125,0.185565158724785,3.01947546005249,2018,"BRA","Brazil",8,14.9280656918322,14522.9929444132,9.5834883927861,5.34457729904606
"16",9026.5361328125,11.175374,4.84106779098511,0.20298133790493,1.40283358097076,2018,"BUI","Burundi",-1,9.10792397733912,807.716693223198,6.69421136983799,2.41371260750113
"17",143782.765625,7.051608,3.33536028862,0.247261583805084,3.17438507080078,2018,"BUL","Bulgaria",9,11.876058867469,20390.0678575723,9.92280319154591,1.95325567592311
"18",69345.9375,16.249792,8.58510112762451,0.0538127794861794,1.93221628665924,2018,"CAM","Cambodia",-4,11.1468628443588,4267.49693165303,8.35878273566495,2.78808010869383
"19",1833635,37.074562,18.9662284851074,0.199731796979904,3.71367216110229,2018,"CAN","Canada",10,14.421810893453,49458.0354044371,10.8088798193896,3.61293107406345
"20",90939.8359375,25.216267,10.0732107162476,0.146648794412613,1.89291405677795,2018,"CAO","Cameroon",-5,11.4179534233033,3606.39566266886,8.19046412116862,3.22748930213464
"21",4441.0458984375,4.666368,1.80255019664764,0.199893474578857,1.55097663402557,2018,"CEN","Central African Republic",6,8.39864519039688,951.713602192862,6.85826415149782,1.54038103889906
"22",436137.21875,18.72916,7.99383497238159,0.181840553879738,3.12676072120667,2018,"CHL","Chile",10,12.9857121947203,23286.5338728485,10.0556305271077,2.93008166761261
"23",19729128,1427.647786,799.306640625,0.138320609927177,2.67364239692688,2018,"CHN","China",-7,16.7976066803673,13819.3244814796,9.53382321634984,7.26378346401741
"24",684435.125,49.661048,21.3982315063477,0.222467929124832,2.58082032203674,2018,"COL","Colombia",7,13.4363491420094,13782.1321249604,9.53112825864818,3.90522088336117
"25",25830.57421875,5.244359,1.9490362405777,0.23907083272934,2.04257464408875,2018,"CON","Congo",-4,10.1593141165338,4925.40160174961,8.50216109378416,1.65715302274969
"26",91075.3828125,4.999441,2.1961886882782,0.223909363150597,2.67630171775818,2018,"COS","Costa Rica",10,11.4194428251345,18217.1132357598,9.81011671895046,1.60932610618401
"27",104344.6328125,4.156405,1.79193985462189,0.253226816654205,3.5706033706665,2018,"CRO","Croatia",9,11.5554544767072,25104.5393344729,10.1308039587475,1.42465051795973
"28",26906.84765625,0.861749,0.357038050889969,0.149804174900055,2.88358068466187,2018,"CYP","Cyprus",10,10.200136092907,31223.5322074641,10.3489273269222,-0.148791234015194
"29",391695.15625,10.665677,5.44891309738159,0.248466849327087,3.67005181312561,2018,"CZR","Czech Republic",9,12.8782391536086,36724.8282739108,10.5112083250314,2.36703082857717
"30",298718.46875,5.752126,2.94209003448486,0.218989312648773,3.58110880851746,2018,"DEN","Denmark",10,12.6072568327246,51931.8368112938,10.8576873071216,1.74956952560303
"31",182312.09375,10.627141,4.9869441986084,0.147122472524643,2.73215627670288,2018,"DOM","Dominican Republic",7,12.1134752982908,17155.3283945325,9.75006409789758,2.36341120039325
"32",196040.78125,17.084358,8.16864776611328,0.149210765957832,2.75602555274963,2018,"ECU","Ecuador",5,12.1860779841716,11474.8696585497,9.34791467613218,2.83816330803946
"33",1208533.125,98.423598,25.9848003387451,0.112274736166,2.64707231521606,2018,"EGY","Egypt",-4,14.0049178887624,12278.8960123161,9.41563729638258,4.58928059237986
"34",42704.83203125,1.32292,0.665091991424561,0.251409292221069,3.63767147064209,2018,"EST","Estonia",9,10.6620673551387,32280.7365760968,10.3822259404661,0.27984141467262
"35",244091.6875,5.522576,2.62945699691772,0.231495425105095,3.48528575897217,2018,"FIN","Finland",10,12.4052992021347,44198.8824599245,10.696454784034,1.70884441810065
"36",12426.91796875,0.883483,0.305168986320496,0.176418274641037,2.69134140014648,2018,"FJI","Fiji",2,9.42762020273407,14065.8257926299,9.5515034317941,-0.123883229060027
"37",2902140.75,67.191027,28.1820640563965,0.214263886213303,3.21035933494568,2018,"FRN","France",10,14.8809592122839,43192.3856439938,10.673419500456,4.20753971182789
"38",32419.529296875,2.119275,0.641878247261047,0.187602370977402,2.83003211021423,2018,"GAB","Gabon",3,10.3865162762723,15297.4622438688,9.63544222720937,0.751074049062963
"39",5430.74609375,2.280094,0.665375590324402,0.0919585004448891,1.64727485179901,2018,"GAM","Gambia",4,8.59983180565307,2381.80798412258,7.7756151354664,0.824216670186671
"40",152166.71875,29.767102,12.9314756393433,0.10769771784544,2.49568748474121,2018,"GHA","Ghana",8,11.9327320326272,5111.90907163217,8.53932820865977,3.39340382396742
"41",279920.59375,10.522246,4.16140508651733,0.214346572756767,3.11320781707764,2018,"GRC","Greece",10,12.5422612481811,26602.7418243215,10.1887695655601,2.35349168262095
"42",131288.015625,17.247849,6.88592004776001,0.153246819972992,1.93199682235718,2018,"GUA","Guatemala",8,11.7851487813726,7611.84862094978,8.93746134132257,2.84768744005005
"43",9676.1220703125,0.779006,0.25457376241684,0.318985998630524,2.69103598594666,2018,"GUY","Guyana",7,9.17741648743295,12421.1136631971,9.42715301839171,-0.249736530958765
"44",17576.51171875,11.123178,4.45044040679932,0.0271357651799917,1.71569538116455,2018,"HAI","Haiti",5,9.77431872827137,1580.16995850916,7.3652876889126,2.40903103935877
"45",51387.75,9.587522,3.91879963874817,0.111441947519779,2.39308500289917,2018,"HON","Honduras",7,10.8471550961907,5359.85732288281,8.58669263484541,2.26046246134524
"46",270981.65625,9.707499,4.63505029678345,0.284513384103775,3.40100622177124,2018,"HUN","Hungary",10,12.5098064084564,27914.6725897165,10.2369077288459,2.27289867961055
"47",8899718,1352.64228,491.077209472656,0.0741483941674232,2.14736175537109,2018,"IND","India",9,16.0015301488071,6579.50600213384,8.79171494583749,7.20981520296962
"48",3010715.75,267.670543,127.067832946777,0.106499098241329,2.30210971832275,2018,"INS","Indonesia",9,14.917688399155,11247.8411567312,9.3279314920385,5.5897569071165
"49",441620.21875,4.81869,2.19354510307312,0.092056006193161,3.16806674003601,2018,"IRE","Ireland",10,12.9982055581098,91647.3603302972,11.4257034512197,1.57250210689012
"50",1078852,81.800188,24.2967281341553,0.194805473089218,2.47035622596741,2018,"IRN","Iran (Islamic Republic of)",-7,13.8914080707916,13188.8694436741,9.48712852889708,4.40427954189457
"51",446474,38.4336,8.49299240112305,0.162913709878922,2.27583694458008,2018,"IRQ","Iraq",6,13.0091364469201,11616.7624162191,9.36020436991579,3.64893207700434
"52",320538.5625,8.381516,4.15644454956055,0.241972401738167,3.84882855415344,2018,"ISR","Israel",6,12.6777578679178,38243.5066042945,10.5517290628643,2.12602880505355
"53",2458235.75,60.627291,25.4179077148438,0.157092854380608,3.13999652862549,2018,"ITA","Italy",10,14.7149544758189,40546.6863099656,10.6102093375846,4.10474513823436
"54",120752.5625,25.06923,7.28638172149658,0.100460521876812,1.67633152008057,2018,"IVO","C̫te d'Ivoire",4,11.7014987928217,4816.76391736005,8.47985759512402,3.22164119769772
"55",24710.3203125,2.934847,1.21510004997253,0.17725482583046,2.59433317184448,2018,"JAM","Jamaica",9,10.1149762617679,8419.62811434463,9.03832093931854,1.07665532244938
"56",108072.53125,9.965318,2.4003746509552,0.214950725436211,2.88836050033569,2018,"JOR","Jordan",-3,11.5905578663418,10844.8652867876,9.29144700149527,2.29911086484651
"57",5005677,127.202192,69.3646087646484,0.212770611047745,3.58311605453491,2018,"JPN","Japan",10,15.4260832263193,39352.1284601762,10.5803053428573,4.84577788346194
"58",212139.75,51.392565,24.2133045196533,0.147270008921623,2.32589602470398,2018,"KEN","Kenya",9,12.2650005345917,4127.82958001804,8.32550702239884,3.93949351219288
"59",266071.3125,4.137312,2.33421754837036,0.177398309111595,2.25771689414978,2018,"KUW","Kuwait",-7,12.4915196439388,64310.1879916236,11.0714733423345,1.42004630160438
"60",39750.8359375,6.30403,2.62620520591736,0.302856624126434,3.50086832046509,2018,"KYR","Kyrgyzstan",8,10.5903861497356,6305.62290114419,8.74919703830806,1.8411891114275
"61",485990.4375,18.319618,8.69320392608643,0.20405438542366,3.1228404045105,2018,"KZK","Kazakhstan",-6,13.0939442267631,26528.4154669601,10.1859717192629,2.9079725075002
"62",51662.921875,7.061507,3.54568958282471,0.207458958029747,1.92690312862396,2018,"LAO","Lao People's DR",-7,10.8524956247678,7316.13264349947,8.89783713995048,1.95465848481729
"63",54939.5859375,1.928459,0.900681853294373,0.252779901027679,3.14169025421143,2018,"LAT","Latvia",8,10.91398942299,28488.8535029783,10.2572681845965,0.656721238393479
"64",7667.07470703125,4.818973,1.8588547706604,0.184613555669785,1.82447791099548,2018,"LBR","Liberia",7,8.94469042748315,1591.0183989475,7.37212959266281,1.57256083482034
"65",5654.96484375,2.108328,0.654092609882355,0.341257959604263,1.72921967506409,2018,"LES","Lesotho",8,8.64028917168739,2682.20354885483,7.89439395538939,0.745895216298006
"66",86619.15625,2.801264,1.38158440589905,0.24181404709816,3.27962493896484,2018,"LIT","Lithuania",10,11.3692762738992,30921.4541185693,10.3392055300098,1.03007074388936
"67",53538.56640625,0.604245,0.444745570421219,0.14385512471199,3.56519508361816,2018,"LUX","Luxembourg",10,10.8881575405905,88604.0702136551,11.391933074744,-0.503775534153509
"68",20808.1796875,4.403313,1.09561729431152,0.188606709241867,1.8060290813446,2018,"MAA","Mauritania",-2,9.94310144259197,4725.5736050333,8.46074423045036,1.48235721214161
"69",40550.671875,26.262313,13.4797639846802,0.116933189332485,1.71317684650421,2018,"MAG","Madagascar",6,10.6103076284568,1544.06323140692,7.34217268272993,3.26813494572692
"70",785834.625,31.528033,14.8138608932495,0.127698689699173,3.05628776550293,2018,"MAL","Malaysia",7,13.5745016485106,24924.9493300137,10.1236245619298,3.45087708658081
"71",28707.119140625,1.267185,0.574989914894104,0.210381418466568,2.61766529083252,2018,"MAS","Mauritius",10,10.2649004246678,22654.2447556,10.028102519781,0.236797904886753
"72",20597.8515625,18.143217,7.6772346496582,0.0916091948747635,1.99782192707062,2018,"MAW","Malawi",6,9.93294205625625,1135.29213493395,7.034645284404,2.89829677185224
"73",2422897,126.190788,53.7211952209473,0.169947519898415,2.75670194625854,2018,"MEX","Mexico",8,14.7004744896091,19200.2684062802,9.86267953741192,4.83779495219719
"74",37489.21484375,4.051944,1.4689804315567,0.316745162010193,3.51418447494507,2018,"MLD","Republic of Moldova",9,10.5318085664258,9252.15522320891,9.13261180047053,1.3991967659553
"75",45292.16015625,19.077749,5.94890022277832,0.147993370890617,1.36189782619476,2018,"MLI","Mali",5,10.7208892315102,2374.08303024901,7.7723665493891,2.94852268212111
"76",34158.23828125,3.170216,1.36005055904388,0.218175441026688,3.02342367172241,2018,"MON","Mongolia",10,10.4387590740097,10774.7353118053,9.28495934964055,1.15379972436911
"77",279320.125,36.029093,11.3725824356079,0.175497367978096,1.91424775123596,2018,"MOR","Morocco",-4,12.5401138044753,7752.62716161076,8.95578705349868,3.58432675097659
"78",264231.875,53.70832,22.6158046722412,0.226359277963638,1.83027982711792,2018,"MYA","Myanmar",8,12.48458231103,4919.75684586671,8.50101438669326,3.98356792433675
"79",36564.5234375,29.496004,10.6671142578125,0.202626377344131,1.2230726480484,2018,"MZM","Mozambique",5,10.5068337443232,1239.64328990124,7.12257894777981,3.38425479654344
"80",23193.3984375,2.448301,0.725703954696655,0.267806559801102,2.23816776275635,2018,"NAM","Namibia",6,10.0516229670546,9473.26265745103,9.15622865244682,0.895394314607764
"81",97406.9765625,28.095714,15.1800336837769,0.0940336287021637,1.79661571979523,2018,"NEP","Nepal",7,11.4866531150172,3466.96925240982,8.15103607700128,3.33561703801593
"82",190333.375,4.743131,2.51875948905945,0.199702069163322,3.38377642631531,2018,"NEW","New Zealand",10,12.1565324188842,40128.2138317495,10.5998349527202,1.55669746616404
"83",33831.7265625,6.465501,2.65906572341919,0.22444449365139,2.26375198364258,2018,"NIC","Nicaragua",6,10.4291542969046,5232.65351942564,8.56267379348376,1.86648050342084
"84",1014140.9375,195.874683,71.1151733398438,0.0827104449272156,1.94907462596893,2018,"NIG","Nigeria",7,13.8295524450922,5177.4988067243,8.55207736279637,5.27747508229581
"85",26680.908203125,22.442822,8.53264904022217,0.129100129008293,1.21844410896301,2018,"NIR","Niger",5,10.1917035400471,1188.83927356038,7.08073270972365,3.11097083032343
"86",401659.84375,5.337962,2.80533766746521,0.173952683806419,3.6529757976532,2018,"NOR","Norway",10,12.90336084958,75245.9166532096,11.2285169173941,1.67484393218592
"87",936939.1875,17.05956,9.30217838287354,0.198851108551025,3.38264727592468,2018,"NTH","Netherlands",10,13.7503736578337,54921.6502359967,10.9136629074275,2.83671075040619
"88",1052082.75,212.228286,61.7038307189941,0.097027376294136,1.77277934551239,2018,"PAK","Pakistan",7,13.8662823288821,4957.31634000946,8.50861981281097,5.35766251607113
"89",124973.3359375,4.176869,1.86749994754791,0.148243203759193,2.87267804145813,2018,"PAN","Panama",9,11.7358556810301,29920.3388800319,10.3062937582285,1.42956192280154
"90",86097.40625,6.956066,3.30691838264465,0.122955456376076,2.63056206703186,2018,"PAR","Paraguay",9,11.3632345651072,12377.3130171565,9.4236204804486,1.93961408465864
"91",388933.59375,31.98926,16.6499004364014,0.154596373438835,2.82068347930908,2018,"PER","Peru",9,12.8711638978737,12158.2554191626,9.40576367640865,3.46540022146505
"92",877652.25,106.651394,41.153003692627,0.106490388512611,2.70087862014771,2018,"PHI","Philippines",8,13.6850057235455,8229.16810632592,9.01544020792129,4.66956551562425
"93",1157452.5,37.921592,16.2116622924805,0.221211597323418,3.43075108528137,2018,"POL","Poland",10,13.9617320273834,30522.2549728397,10.3262113677555,3.63552065962792
"94",317162.25,10.256193,4.93115472793579,0.185358822345734,2.49544858932495,2018,"POR","Portugal",10,12.6671687515723,30923.9744220882,10.3392870333183,2.32788171825398
"95",324852.0625,2.781682,2.0452082157135,0.118298575282097,3.17323040962219,2018,"QAT","Qatar",-10,12.6911251653727,116782.602216932,11.6680693846594,1.0230557807133
"96",2118144.75,51.171706,26.581413269043,0.16448001563549,3.72946310043335,2018,"ROK","Republic of Korea",8,14.5660511455844,41392.8890703781,10.6308643834756,3.93518676210881
"97",516810.5,19.506114,8.68850040435791,0.20721061527729,3.25331354141235,2018,"RUM","Romania",9,13.1554315485816,26494.7954267057,10.1847035936933,2.97072795488833
"98",4131929.25,145.734038,72.1640853881836,0.252394109964371,3.41864514350891,2018,"RUS","Russian Federation",4,15.2342549866162,28352.5338809318,10.252471683678,4.98178330293823
"99",26958.83203125,12.30197,5.16152286529541,0.128707855939865,1.87717545032501,2018,"RWA","Rwanda",-3,10.2020662418048,2191.42397772471,7.69230682964946,2.50975941215534
"100",732308.1875,57.792518,18.6863574981689,0.223374217748642,2.85764122009277,2018,"SAF","South Africa",9,13.5039567255138,12671.33208316,9.44709740458112,4.05685932093265
"101",51288.87109375,6.420746,2.91060185432434,0.186989590525627,2.27278709411621,2018,"SAL","El Salvador",8,10.8452290698808,7987.99253135851,8.98569475955261,1.85953431032819
"102",1732983.375,33.702756,13.3782386779785,0.23500157892704,2.6906533241272,2018,"SAU","Saudi Arabia",-10,14.3653549754607,51419.6339017498,10.8477753610308,3.51757961442991
"103",50598.65625,15.854323,5.95509576797485,0.130596667528152,1.59844470024109,2018,"SEN","Senegal",7,10.8316802985988,3191.47378604561,8.06823809098405,2.76344220761477
"104",15149.11328125,7.65015,2.47238802909851,0.307971179485321,1.6291264295578,2018,"SIE","Sierra Leone",7,9.62569727993418,1980.23741773037,7.59097202444483,2.03472525548935
"105",476500.75,5.757499,3.71476626396179,0.109961606562138,4.15445375442505,2018,"SIN","Singapore",-2,13.0742245760521,82761.7599238836,11.3237213970259,1.75050317902619
"106",146127.890625,5.453014,2.43950939178467,0.279592603445053,3.82120704650879,2018,"SLO","Slovakia",10,11.8922374804436,26797.6371645112,10.1960689971088,1.69616848333472
"107",69825.75,2.077837,1.02623057365417,0.221440479159355,3.55342221260071,2018,"SLV","Slovenia",10,11.1537581318943,33605.01810296,10.4224306831023,0.731327448791925
"108",1849504.75,46.692858,19.5293655395508,0.183798119425774,2.96457171440125,2018,"SPN","Spain",10,14.430428458513,39610.0138055375,10.5868372391526,3.84359121936047
"109",275685.15625,21.228763,8.01500034332275,0.16442745923996,2.86095976829529,2018,"SRI","Sri Lanka",6,12.5270147553376,12986.397570598,9.47165774792383,3.05535700741374
"110",9804.4208984375,1.136281,0.305421501398087,0.240855425596237,2.09102296829224,2018,"SWA","Eswatini",-7,9.19058867502366,8628.51785644352,9.062828026158,0.127760648865657
"111",516270.25,9.971638,4.99561405181885,0.26756688952446,3.42593097686768,2018,"SWD","Sweden",10,13.1543856476697,51773.8660388594,10.8546407843119,2.29974486335779
"112",636190.75,8.525611,4.97150182723999,0.0788283497095108,3.69508242607117,2018,"SWZ","Switzerland",10,13.3632537187385,74621.1327258539,11.2201790265829,2.14307469215555
"113",116457.6015625,16.945057,4.72071504592896,0.37946480512619,2.59381318092346,2018,"SYR","Syrian Arab Republic",-9,11.6652825506616,6872.659180934,8.83530638178412,2.82997616887749
"114",34027.296875,9.100835,2.60101795196533,0.338335543870926,3.04147958755493,2018,"TAJ","Tajikistan",-3,10.4349183307519,3738.92031610286,8.22655216319689,2.20836616755503
"115",1075540,23.58008,11.4350004196167,0.178800985217094,3.32381677627563,2018,"TAW","Taiwan",10,13.888333419002,45612.2286268749,10.7279311311929,3.16040228780915
"116",126885.109375,54.733589,22.9112396240234,0.0705911740660667,1.70375418663025,2018,"TAZ","U.R. of Tanzania: Mainland",3,11.7510373054069,2318.2311208388,7.7485597259348,4.00247757947207
"117",1175339.75,69.428453,37.7916793823242,0.182324022054672,2.77352070808411,2018,"THI","Thailand",-3,13.9770678127011,16928.7907077521,9.73677104361866,4.24029676908241
"118",16947.33984375,7.889093,3.08190393447876,0.168700084090233,1.79449903964996,2018,"TOG","Togo",-2,9.73786615912033,2148.19876552983,7.6723849865105,2.06548117260983
"119",38291.8359375,1.389843,0.615504264831543,0.136402398347855,3.07657313346863,2018,"TRI","Trinidad and Tobago",9,10.5529919915459,27551.1953058727,10.2238012004229,0.329190791123022
"120",127727.5546875,11.565201,3.64583444595337,0.207437142729759,2.65475988388062,2018,"TUN","Tunisia",7,11.757654795467,11044.1275242428,9.30965411990866,2.44800067555831
"121",2264386.75,82.340088,28.7409992218018,0.192198604345322,2.47905468940735,2018,"TUR","Turkey",-4,14.6328145296878,27500.4169293577,10.2219564446073,4.41085808508056
"122",633896.625,9.630959,5.73991298675537,0.111509010195732,2.74340224266052,2018,"UAE","United Arab Emirates",-8,13.3596411680745,65818.640179031,11.0946583625913,2.26498280548317
"123",85139.546875,42.729036,14.8355283737183,0.154005348682404,2.38032293319702,2018,"UGA","Uganda",-1,11.3520469172515,1992.54546428335,7.59716822811213,3.75487868913934
"124",2974124.5,67.141684,32.6317443847656,0.190245449542999,3.76570081710815,2018,"UKG","United Kingdom",8,14.905460267937,44296.2452356721,10.6986551947813,4.20680507315572
"125",561325.125,44.246156,16.3806667327881,0.332759886980057,3.28103017807007,2018,"UKR","Ukraine",4,13.2380555620878,12686.4156289645,9.44828706446375,3.78976849762402
"126",70566.3828125,3.449285,1.62894630432129,0.16247184574604,2.75375962257385,2018,"URU","Uruguay",10,11.1643091459503,20458.2639046933,9.92614218276234,1.23816696318796
"127",20155260,327.096265,156.675903320312,0.114803090691566,3.74402379989624,2018,"USA","United States",8,16.818975854475,61618.7408926849,11.0287213385223,5.7902545159527
"128",10912.2373046875,28.887118,12.0869102478027,0.210369929671288,2.8578462600708,2018,"VEN","Venezuela (Bolivarian Republic of)",-3,9.29764012697723,377.754447663748,5.93424437517684,3.36339575180039
"129",50024.23046875,28.498683,5.37051868438721,0.286328822374344,1.78661465644836,2018,"YEM","Yemen",0,10.8202627764001,1755.31727093319,7.47040490071953,3.34985787568055
"130",84834.7734375,84.068091,24.3812828063965,0.0660936236381531,1.67250561714172,2018,"ZAI","D.R. of the Congo",-3,11.3484608018481,1009.11977931674,6.9168337242265,4.43162707762164
"131",55459.12109375,17.351708,5.0329909324646,0.152809366583824,2.64429807662964,2018,"ZAM","Zambia",6,10.9234014714739,3196.17648555116,8.06971052612225,2.85369094535163
"132",43420.8984375,14.438802,6.71495199203491,0.269799411296844,2.68062973022461,2018,"ZIM","Zimbabwe",4,10.6786961350077,3007.23691879008,8.00877696897365,2.66991916603406
