Party;full_text;label
VVD;Het komt er nu op aan: Nederland krijgt een links of een centrumrechts kabinet. Stem VVD voor een centrumrechts kabinet dat kiest voor rust in je portemonnee, een groeiende economie en een strenge asielaanpak. Alleen met een sterke VVD kunnen we een links kabinet voorkomen.;1
VVD;Onze inzet is een centrumrechts kabinet. Een links kabinet gaan wij niet mogelijk maken. De verschillen zijn te groot voor een kabinet dat stabiel is én de juiste keuzes maakt voor Nederland. Daarmee ligt er vandaag een heldere keuze voor: er komt een links kabinet met GL-PvdA of een centrumrechts kabinet met de VVD. Alleen de VVD is hier helder over.;1
VVD;Alleen met een sterke VVD komt er een centrum rechts kabinet. En alleen met een sterke VVD voorkom je een links kabinet met Timmermans en Jetten.;1
VVD;Dank je wel voor je stem Annemarie van Gaal. We zullen altijd opkomen voor onze vrijheden.;0
VVD;Nederland heeft een centrumrechts kabinet nodig. Team VVD staat met ervaren mensen en doordachte plannen klaar om van zo’n kabinet een succes te maken voor Nederland.;1
VVD;Een stem van professor Afshin Ellian. Dank voor deze steun in onze strijd voor een sterker en veilig Nederland. Steun ons ook ;0
VVD;Enorme eer. Dank je wel John. Wij zullen ons altijd blijven inzetten voor de veiligheid van Nederlanders ;1
VVD;Met het beste en sterkste team staan we klaar voor jou ;0
VVD;Van vrijwilligers blijf je af. Mensen die zich inzetten voor een politieke partij, welke dan ook, dienen onze democratie. Koester dat en laat woensdag in het stemhokje weten wat je vindt. Zoals het hoort. Zonder geweld.;0
VVD;ohan én René toch maar weer VVD! Hoop dat jij ons ook steunt op 29 oktober! ;0
VVD;Iedereen die in Nederland is, moet vrij en veilig kunnen leven. Wij zullen altijd opkomen voor onze veiligheid en vrije rechtsstaat. De VVD wil criminelen steviger aanpakken, asiel beperken en het Nederlanderschap van terroristen intrekken.;1
VVD;De VVD wil criminelen steviger aanpakken, asiel beperken en het Nederlanderschap intrekken van terroristen. Dat doen we om op te komen voor onze veiligheid en vrije rechtsstaat. De vereniging van advocaten noemt dit echter onrechtstatelijk. Net zoals overigens punten uit programma’s van de meeste partijen. Maar dat je de wet wil wijzigen betekent niet dat je tegen de rechtsstaat in gaat. Dit wel zo noemen, holt het begrip uit. Als VVD staan we voor de vrijheid en veiligheid van alle Nederlanders. En we zullen dat altijd verdedigen, ook als dat een prijs heeft voor mijn eigen vrijheid en veiligheid.;1
VVD;"""Sta nou gewoon een keer op voor onze manier van leven. Voor de vrijheden die er zijn."" Met VrijLinks sprak ik over onze vrije samenleving, persoonlijke vrijheid, maar ook de vrijheid om vooruit te komen in het leven. Luister hier de hele aflevering. ";1
VVD;Trots op ons team VVD! Staatssecretaris @JurgenNobel zet een belangrijke stap om het leven van werkende ouders betaalbaar te maken. De VVD doet wat nodig is om rust terug te brengen in de portemonnee. Ons team staat klaar om hierop te blijven leveren. Dit is de keuze op 29/10.;1
VVD;Tijdens RTL Tonight sprak ik over mijn beveiliging. Het is niet altijd makkelijk om vrijheid in te leveren, maar we hebben de beste mensen die ons beschermen. De dreiging tegen politici, journalisten, rechters en advocaten neemt toe. Ik laat me niet intimideren en zal altijd opstaan voor onze manier van leven.;1
VVD;Alleen met een sterke VVD voorkom je een links kabinet. De VVD wil een centrumrechts kabinet voor lagere lasten, strenger asielbeleid en een sterke economie. Wij zijn de enige die hier duidelijk over zijn én kunnen leveren. Het kan. Dit is de keuze 29/10.;1
VVD;Met De Correspondent ging ik in gesprek over onze keuze voor een sterke economie, een strenger, sterker en effectiever asielstelsel en waarom we moeten stoppen met het bedrijfsleven zien als een pinautomaat. Luister hier de podcast. ;1
VVD;Minder migratie kan geregeld worden. Dan heb je wel politici nodig die dit willen, die de oplossingen hebben én de mensen die het kunnen waarmaken. De VVD staat klaar om dit in een centrumrechts kabinet snel te regelen. Wij blijven inzetten op de strengste asielaanpak ooit.;1
VVD;De Russische dreiging is reëel. Poetin zoekt de grenzen op, zelfs bij onze eigen Nederlandse militairen. Om de Russische dreiging het hoofd te bieden en onze manier van leven veilig te stellen moeten we die 3,5% NAVO-norm halen. Wij kiezen voor de grootste investering ooit in onze veiligheid.;1
VVD;Een veelbelovende stap in een nachtmerrie die al veel te lang duurt. Eindelijk kunnen gijzelaars terug naar huis en zien zij geliefden terug. Laat het hoop geven voor vasthouden aan deze afspraken en toewerken naar bestendige vrede in het Midden-Oosten.;0
VVD;De komende jaren zijn er krachtige keuzes nodig voor een sterk en veilig Nederland, voor een groeiende economie en voor strenger én effectief beleid op wie hier binnenkomt. Daarom gaan wij voor een stabiel centrumrechts kabinet dat doet wat nodig is voor een sterker Nederland.;1
VVD;Trots op mijn team, waarin ieder vanuit een eigen rol hard werkt om ons land sterker en veiliger te maken. Zo werken we samen met Oekraïne, in de strijd tegen Poetin. De VVD blijft Oekraïne onverminderd steunen, want Oekraïne verdedigt ook onze veiligheid.;0
VVD;Het raakt de kern van de democratie als politici niet in vrijheid campagne kunnen voeren en elkaars ideeën in een vrij debat kunnen bespreken. Ik wens Geert Wilders veel sterkte en ik heb er alle vertrouwen in dat onze diensten hem veilig zullen houden.;0
VVD;Wij kiezen voor een sterker Nederland. De doorrekening van het CPB laat zien dat we onze plannen hiervoor kunnen waarmaken: we halen de NAVO-norm voor defensie en doen dat met een overheid die zélf zuiniger aandoet. Mensen die werken, sparen of ondernemen gaan erop vooruit.;1
VVD;Geschrokken van dit nieuws: de dreiging is echt. Mijn volle support voor Bart de Wever. En mijn complimenten voor de Belgische veiligheidsdiensten en justitie. We moeten onze democratie blijven beschermen.;0
VVD;Politieke keuzes doen ertoe: ze raken onze economie en hoe we omgaan met belastinggeld. Daarom laten wij onze plannen onafhankelijk doorrekenen. Morgen wordt in de doorrekening duidelijk waar partijen écht voor staan. Voor de VVD is dat helder: wij kiezen voor een sterker Nederland door zo snel mogelijk te voldoen aan de nieuwe NAVO-norm. Om dat te bekostigen moet de overheid de eigen uitgaven beperken, niet de belastingen verhogen. Nederlanders verdienen financiële rust, de lastendruk is nu al hoog genoeg. Financiële plannen niét laten doorrekenen vindt de VVD onverantwoord. Het gaat hier om serieuze zaken: onze economie en belastinggeld. Daarmee neem je geen gok.;1
VVD;Dit akkoord tussen Israël en Hamas zou een grote stap richting vrede zijn. Dan kan er eindelijk een einde komen aan het leed van onschuldige mensen en kunnen de gijzelaars terugkeren. Wat een hoopvol bericht.;0
VVD;Twee jaar geleden dansten jongeren op een festival voor liefde en vrede. Hamas-terroristen maakten daar op brute wijze een einde aan. Sindsdien vallen er veel onschuldige slachtoffers en zitten nog tientallen gijzelaars vast. Wat een verschrikking. Nederland moet zich blijven inzetten voor een weg naar vrede. ;0
VVD;Erg goed nieuws! Twee weken geleden vroegen wij de premier om verdragen die streng asielbeleid in de weg staan, aan te passen. Verdragen uit een andere tijd, die van vóór criminele asielzoekers, mensensmokkelaars en misbruik, moeten op de schop. Top werk!;1
VVD;Een aanslag op de meest heilige dag voor de Joodse gemeenschap. Mijn gedachten zijn bij de getroffenen. Dit is waarom wij eensgezind moeten zijn in het veroordelen van deze terreur en onze vrijheden moeten beschermen.;0
VVD;De gevolgen die de oorlog in het Midden Oosten heeft voor onschuldige burgers, raakt iedereen. Zeker als het kinderen zijn die ziek of gewond zijn. Voor de VVD is steeds de inzet geweest dat kinderen de zorg moeten krijgen die zij nodig hebben. Liefst dichtbij huis, of in de eigen regio. Dat is voor deze kinderen het minst belastend en het meest vertrouwd. Het kabinet heeft vandaag de Kamer laten weten dat vanuit Nederland veel extra hulp op gang is gebracht die duizenden mensen bereikt, zoals medische hulp voor 600 kinderen het komende jaar. Echter, op korte termijn lukt het voor een beperkt aantal kinderen die hoog specialistische zorg nodig vooralsnog niet ter plekke zorg in de regio te leveren. De VVD steunt de beslissing die minister van Weel nu neemt om deze kinderen in ons land de noodzakelijke behandeling te geven.;0
VVD;De oorlog van vandaag en morgen wordt onder meer met drones gevoerd. Daar zullen we ons tegen moeten beschermen. Trots dat Nederland met de kennis en kunde hierin voorop loopt. Zo nemen wij verantwoordelijkheid om ons land en onze buren veilig te houden!;1
VVD;In ons vrije land is het politieuniform neutraal.;1
VVD;De VVD kiest voor rust in jouw portemonnee. In plaats van o.a. tanken en je hypotheek nóg duurder maken. Zuinige overheid Lagere accijns Hypotheekrenteaftrek behouden Lagere lasten op o.a. energie en inkomen Geen hogere lasten op spaargeld en erfenissen;1
VVD;VVD wil het wapenarsenaal van de politie uitbreiden en maakt oa daarvoor extra 75 miljoen voor de politie vrij. Met steun van de politievakbond ACP zetten we concrete stappen voor de veiligheid van onze agenten. Deze week debat over het geld, verwacht en hoop op steun van de Kamer.;1
VVD;Om de koopkracht van mensen met een heel normaal inkomen en een koophuis te beschermen, starters een eerlijke kans op een eigen huis te geven en nieuwbouwprojecten te stimuleren is er maar één goede keuze: behoud de hypotheekrenteaftrek en ga bouwen.;1
VVD;De VVD blijft doen wat nodig is voor het realiseren van de strengste asielaanpak ooit, met maatregelen die werken. Goed dat @ministerBZ David van Weel hier een belangrijke stap zet in het terugsturen van uitgeprocedeerden.;1
VVD;De VVD kiest voor de veiligheid van agenten door de politie beter uit te rusten en te zorgen dat ze veilig kunnen werken. Met forse investeringen in wapens en maatregelen. Wij staan voor onze agenten die ons beschermen. Geweld tegen agenten mogen we nooit accepteren.;1
VVD;De politie is er om ons veilig te houden. Dan moeten wij ze middelen geven om dat te doen en zelf veilig te kunnen werken. De VVD investeert fors in wapens en maatregelen in de strijd tegen relschoppers. ;1
VVD;Poetin is een bedreiging voor onze veiligheid. We mogen niet naïef zijn over de dreigingen die op ons afkomen. De VVD kiest voor een ingrijpende versterking van onze defensie. Een moderne krijgsmacht is de beste garantie voor onze veiligheid.;1
VVD;De drones boven Europees grondgebied laten zien dat Poetin nog lang niet klaar is. We moeten als Europa, als Nederland achter Oekraïne staan voor onze eigen veiligheid en laten zien wij deze agressor niet laten winnen. Poetin wil onze vrije manier van leven kapot maken. We mogen niet naïef zijn over de dreigingen die op ons afkomen. Daarom kiest de VVD voor een ingrijpende versterking van onze defensie.;1
VVD;Hoe haal je het in je hoofd om geweld te gebruiken tegen onze agenten? Zorgen dat dit tuig opgepakt wordt, forse straffen opgelegd krijgt en betaalt voor alle schade.;1
VVD;Met een koophuis kunnen mensen iets opbouwen in hun leven. Dat is iets geweldigs en dat willen we volop stimuleren. Daarom moeten we meer huizen bouwen. Én moeten we de hypotheekrenteaftrek in stand houden. Dat gaat hand in hand.;1
VVD;Voor mij en voor de VVD staat de hardwerkende Nederlander op één. Zij moeten meer overhouden in hun portemonnee en verdienen een economie die groeit. Hoe sterker onze economie, hoe sterker Nederland. Lees hier meer.;1
VVD;"De koning had het in de Troonrede ver grote zorgen die bij de mensen thuis leven, maar ook over de kracht van ons land.  Dat is ook wat mij betreft onze taak als politici. De problemen oplossen waar Nederlanders van wakker liggen. Zorgen dat we mensen veilig houden in deze onzekere wereld. Maar ook zorgen voor rust in hun portemonnee en lage belastingen. Een sterk Nederland betekent ook een sterke economie. Met al die ondernemers die bruisen van de ideeën. Alles wat we kunnen doen om onze economie te laten groeien en ons land sterker en veiliger te maken.  

Genoeg inspiratie in de woorden van de koning!";1
VVD;Nederland moet grip krijgen op migratie. Dit kan niet wachten tot een nieuw kabinet. Wat de VVD betreft, trekken we nú samen op met België om de invloed van internationale verdragen op asiel te beperken. De basis op orde, zodat we de asielmigratie eindelijk onder controle krijgen. ;1
VVD;Oekraïne vecht ook voor onze vrijheid en veiligheid. Wat de VVD betreft, blijven ze onverminderd steunen. Om de Russische dreiging het hoofd te bieden en onze manier van leven veilig te stellen, is een investering in onze eigen veiligheid noodzakelijk.;1
VVD;Een vrije samenleving heeft debat en kritische vragen nodig, waar je verschilt van mening met woorden. Nooit met geweld. Geschokt door de laffe aanslag op Charlie Kirk. Mijn gedachten zijn bij zijn nabestaanden.;0
VVD;Dit is dus goed nieuws, maar zijn we er nog lang niet. Werkende Nederlanders in ons land liggen nog steeds wakker van hoge kosten en grote onzekerheid voor de toekomst. We moeten de portemonnee van de hardwerkende Nederlanders beschermen.;1
